"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
2;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
3;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
4;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";48;"";;;
5;"R3,R4,R12,R6";"0402R";4;"2k2";;;
6;"FD1,FD2";"FIDUCIAL_23";2;"FIDUCIAL";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"D2";"0402LED";1;"blue";;;
9;"U4";"SOIC-14";1;"ATTINY804";;;
10;"D3";"0402LED";1;"purple";;;
11;"K5,K6";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
12;"U1";"SOP-16";1;"CH340C";;;
13;"K1";"easyC-connector";1;"easyC-SMD";;;
14;"D1";"0402LED";1;"white";;;
15;"G***";"Symbol-Front-Battery";1;"LOGO";;;
16;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
17;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
18;"D5";"0402LED";1;"red";;;
19;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
20;"H1";"HOLE_3.2mm";1;"HOLE_3.2mm";;;
21;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
22;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
23;"G***";"Symbol-Front-USB";1;"LOGO";;;
24;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
25;"R2,R1,R5";"0603R";3;"1k";;;
26;"C9,C1,C10,C2,C4";"0603C";5;"100n";;;
27;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
28;"D6";"M4_DIODA";1;"M4_DIODA";;;
29;"R10";"0603R";1;"10k";;;
30;"C5,C3,C7,C8";"0603C";4;"2u2";;;
31;"R7,R8";"0603R";2;"5k1";;;
32;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
33;"Q1";"SOT-23-3";1;"PMOS-SOT-23-3";;;
34;"R14";"0603R";1;"100k";;;
35;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
36;"C6";"0603C";1;"270p";;;
37;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
38;"R11";"0603R";1;"3k";;;
39;"D7";"SOD-323";1;"BAT20J";;;
